dataset,algorithm,goal,run,round,test_acc,test_auc,train_loss
Flowers102,Fedpkda,flowers_fedpkda_cnn_jr0.1,0,36,0.32622394571013086,,1.212618951698415
Flowers102,Fedpkda,flowers_fedpkda_cnn_jr0.1,0,37,0.32670867668444015,,1.1706620638718073
Flowers102,Fedpkda,flowers_fedpkda_cnn_jr0.1,0,38,0.32767813863305867,,1.1311824473600622
Flowers102,Fedpkda,flowers_fedpkda_cnn_jr0.1,0,39,0.3315559864275327,,1.1019249512161806
Flowers102,Fedpkda,flowers_fedpkda_cnn_jr0.1,0,40,0.3330101793504605,,1.079718984034146
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,0,0.4808660759970915,,0.8432298843388316
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,1,0.7829423962513129,,0.3846932184240168
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,2,0.7972692753076778,,0.3092916982209267
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,3,0.9444429483209006,,0.14866127348197308
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,4,0.7470713381628201,,0.44499437616259746
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,5,0.7512455228502949,,0.5093909599962262
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,6,0.922925699512563,,0.24758637558506377
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,7,0.8486521422993025,,0.3604191862355449
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,8,0.932378208062909,,0.17537227653450385
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,9,0.9130423073815743,,0.19762620980841378
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,10,0.705221770392912,,1.3250210373496172
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,11,0.9098914711981256,,0.31453661039220443
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,12,0.829020009156276,,0.4265728755612547
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,13,0.8914173376780761,,0.2831089608474306
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,14,0.9237066760024776,,0.2495810396183987
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,15,0.9824145638650257,,0.06739215135079017
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,16,0.9402149031858454,,0.18924269956891276
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,17,0.8752861336277704,,0.3655895512294652
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,18,0.974362426951768,,0.08047042772758889
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,19,0.7157514878948644,,2.0914111487143563
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,20,0.7864433253440336,,0.5540869591350867
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,21,0.932378208062909,,0.1454440464915034
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,22,0.8793256671962943,,0.28805256352639236
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,23,0.9273153259903589,,0.15512094828770753
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,24,0.9007351951094713,,0.23440572773816531
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,25,0.8631944631459887,,0.3366557445326986
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,26,0.9464627151051626,,0.14980093051036014
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,27,0.9433118789217139,,0.16257760902154045
